genome	number of scaffolds	taxonomy	completeness score	contamination score	5S rRNA	16S rRNA	23S rRNA	tRNA count	assembly quality
C13F5_subsampled_20Gb_bin.22	221	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Acetatifactor;s__	99.71	3.744		C13F5_subsampled_20Gb_bin.22_NODE_10788_length_5003_cov_12.321166 (3438, 4958)	C13F5_subsampled_20Gb_bin.22_NODE_10788_length_5003_cov_12.321166 (4, 2911)	61	med
C13F5_subsampled_20Gb_bin.23	155	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA3282;s__	90.72	0.574				41	med
C13F5_subsampled_20Gb_bin.24	32	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Duncaniella;s__	99.43	0.754				44	med
C13F5_subsampled_20Gb_bin.25	80	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__14-2;s__14-2 sp009774455	99.42	2.107				52	med
C13F5_subsampled_20Gb_bin.26	91	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAG-485;s__CAG-485 sp009775355	94.77	0.377				44	med
C13F5_subsampled_20Gb_bin.27	175	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__UMGS1872;s__UMGS1872 sp014237695	97.31	2.013	C13F5_subsampled_20Gb_bin.27_NODE_9585_length_5620_cov_32.530339 (5076, 5183)			34	med
C13F5_subsampled_20Gb_bin.28	426	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__;s__	93.24	3.691	2 present			42	med
C13F5_subsampled_20Gb_bin.29	272	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__UMGS1872;s__	92.72	0.782	C13F5_subsampled_20Gb_bin.29_NODE_20480_length_2711_cov_6.565467 (8, 114)			35	med
C13F5_subsampled_20Gb_bin.3	16	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Duncaniella;s__	99.43	1.132				45	med
C13F5_subsampled_20Gb_bin.30	131	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__UMGS1872;s__	97.31	1.342	2 present			43	med
C13F5_subsampled_20Gb_bin.31	516	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA7182;s__UBA7182 sp009774145	93.44	3.31				32	med
C13F5_subsampled_20Gb_bin.32	83	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__CAG-552;g__;s__	95.78	0.699		C13F5_subsampled_20Gb_bin.32_NODE_2256_length_23922_cov_3.702892 (15153, 16663)		44	med
C13F5_subsampled_20Gb_bin.33	62	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA7182;s__	94.62	1.898				46	med
C13F5_subsampled_20Gb_bin.34	193	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UMGS1370;s__	98.1	1.582				38	med
C13F5_subsampled_20Gb_bin.35	50	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Duncaniella;s__	99.43	0.754	C13F5_subsampled_20Gb_bin.35_NODE_2852_length_19125_cov_58.158520 (18876, 18963)	C13F5_subsampled_20Gb_bin.35_NODE_34645_length_1671_cov_131.188295 (130, 1661)		47	med
C13F5_subsampled_20Gb_bin.36	359	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eubacterium_J;s__	97.58	2.969			C13F5_subsampled_20Gb_bin.36_NODE_18274_length_3014_cov_29.012693 (226, 3012)	43	med
C13F5_subsampled_20Gb_bin.37	98	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UMGS1370;s__	99.36	0.0			C13F5_subsampled_20Gb_bin.37_NODE_1623_length_31616_cov_41.591522 (1, 991)	52	med
C13F5_subsampled_20Gb_bin.38	529	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__;s__	91.45	1.898				38	med
C13F5_subsampled_20Gb_bin.39	50	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA3282;s__	98.27	1.915		C13F5_subsampled_20Gb_bin.39_NODE_88_length_176442_cov_24.370556 (1, 418)		42	med
C13F5_subsampled_20Gb_bin.4	357	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Schaedlerella;s__Schaedlerella sp000403295	90.98	1.189				37	med
C13F5_subsampled_20Gb_bin.40	746	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__;s__	92.12	1.983				23	med
C13F5_subsampled_20Gb_bin.41	138	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__;s__	99.4	2.507				49	med
C13F5_subsampled_20Gb_bin.42	44	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Muribaculum;s__Muribaculum sp002492595	99.43	0.0				48	med
C13F5_subsampled_20Gb_bin.43	44	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Duncaniella;s__Duncaniella muris	93.96	0.503				41	med
C13F5_subsampled_20Gb_bin.44	90	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-95;s__CAG-95 sp009911035	95.97	1.724				36	med
C13F5_subsampled_20Gb_bin.45	279	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__UMGS1872;s__	97.42	0.0	2 present			45	med
C13F5_subsampled_20Gb_bin.46	238	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA9502;s__	98.1	1.265				45	med
C13F5_subsampled_20Gb_bin.47	95	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__UBA7173;s__UBA7173 sp002491305	97.92	0.377	C13F5_subsampled_20Gb_bin.47_NODE_7643_length_6979_cov_30.303343 (6805, 6900)	C13F5_subsampled_20Gb_bin.47_NODE_4949_length_10867_cov_40.659640 (9910, 10867)		39	med
C13F5_subsampled_20Gb_bin.48	255	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Schaedlerella;s__Schaedlerella arabinosiphila	92.46	2.046				43	med
C13F5_subsampled_20Gb_bin.49	606	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAG-873;s__	77.0	2.561	C13F5_subsampled_20Gb_bin.49_NODE_10771_length_5013_cov_2.102361 (4657, 4757)			28	med
C13F5_subsampled_20Gb_bin.5	78	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__UBA3700;g__RACS-045;s__	94.85	0.223		C13F5_subsampled_20Gb_bin.5_NODE_3061_length_17819_cov_7.401185 (45, 1552)		44	med
C13F5_subsampled_20Gb_bin.50	36	d__Bacteria;p__Firmicutes;c__Bacilli;o__Acholeplasmatales;f__Anaeroplasmataceae;g__UMGS268;s__	98.66	0.111	C13F5_subsampled_20Gb_bin.50_NODE_1265_length_38958_cov_29.411462 (38877, 38957)			41	med
C13F5_subsampled_20Gb_bin.51	472	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAG-485;s__CAG-485 sp002362485	83.11	2.264				19	med
C13F5_subsampled_20Gb_bin.52	205	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA3402;s__	98.41	0.0				61	med
C13F5_subsampled_20Gb_bin.53	57	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__UBA7173;s__UBA7173 sp001689485	98.67	0.377	C13F5_subsampled_20Gb_bin.53_NODE_396_length_87434_cov_74.614095 (331, 423)			45	med
C13F5_subsampled_20Gb_bin.54	106	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__CAG-917;g__CAG-475;s__	90.02	0.062	C13F5_subsampled_20Gb_bin.54_NODE_370_length_90526_cov_4.079080 (12799, 12908)	C13F5_subsampled_20Gb_bin.54_NODE_370_length_90526_cov_4.079080 (7884, 9394)	C13F5_subsampled_20Gb_bin.54_NODE_370_length_90526_cov_4.079080 (9766, 12682)	35	high
C13F5_subsampled_20Gb_bin.55	68	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAG-873;s__CAG-873 sp009775265	93.96	0.88				53	med
C13F5_subsampled_20Gb_bin.56	467	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA3402;s__	92.33	2.551				36	med
C13F5_subsampled_20Gb_bin.57	34	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Duncaniella;s__	99.42	0.377				50	med
C13F5_subsampled_20Gb_bin.58	221	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAG-873;s__	95.64	0.776				48	med
C13F5_subsampled_20Gb_bin.59	96	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__Borkfalkiaceae;g__UBA11940;s__UBA11940 sp003979335	84.47	0.806	C13F5_subsampled_20Gb_bin.59_NODE_352_length_92258_cov_89.594169 (11, 120)			46	med
C13F5_subsampled_20Gb_bin.6	500	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Anaerosacchariphilus;s__Anaerosacchariphilus sp011959465	90.27	1.16				41	med
C13F5_subsampled_20Gb_bin.60	197	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA3282;s__UBA3282 sp003611805	95.25	1.053				44	med
C13F5_subsampled_20Gb_bin.61	519	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAG-485;s__	87.61	0.754				36	med
C13F5_subsampled_20Gb_bin.62	193	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eubacterium_J;s__Eubacterium_J sp009774535	97.01	1.279				41	med
C13F5_subsampled_20Gb_bin.63	676	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__14-2;s__14-2 sp000403315	83.96	1.532				26	med
C13F5_subsampled_20Gb_bin.64	201	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA9502;s__	98.1	0.0				47	med
C13F5_subsampled_20Gb_bin.65	33	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Paramuribaculum;s__	99.24	0.377				47	med
C13F5_subsampled_20Gb_bin.66	706	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__TF01-11;s__	92.33	1.942				30	med
C13F5_subsampled_20Gb_bin.67	352	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__COE1;s__COE1 sp009774395	98.16	1.724				49	med
C13F5_subsampled_20Gb_bin.68	32	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__Akkermansia;s__Akkermansia muciniphila	97.95	0.68	C13F5_subsampled_20Gb_bin.68_NODE_9324_length_5756_cov_153.291320 (71, 178)	C13F5_subsampled_20Gb_bin.68_NODE_9324_length_5756_cov_153.291320 (3808, 5316)	C13F5_subsampled_20Gb_bin.68_NODE_9324_length_5756_cov_153.291320 (422, 3252)	50	high
C13F5_subsampled_20Gb_bin.7	458	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__ASTD01;s__	80.71	2.046				17	med
C13F5_subsampled_20Gb_bin.8	476	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__ASTD01;s__	93.3	3.372				31	med
C13F5_subsampled_20Gb_bin.9	203	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__1XD42-69;s__1XD42-69 sp011959925	97.18	0.579				43	med
C13F5_subsampled_40Gb_bin.1	599	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Dysosmobacter;s__	73.95	2.46	C13F5_subsampled_40Gb_bin.1_NODE_5799_length_11098_cov_2.379944 (2, 80)			15	med
C13F5_subsampled_40Gb_bin.10	215	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__UMGS1872;s__	95.74	1.363	C13F5_subsampled_40Gb_bin.10_NODE_21376_length_2874_cov_11.254775 (8, 114)			37	med
C13F5_subsampled_40Gb_bin.11	155	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__UMGS1872;s__	96.75	0.02	C13F5_subsampled_40Gb_bin.11_NODE_858_length_62366_cov_15.457722 (183, 289)			37	med
C13F5_subsampled_40Gb_bin.12	123	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA3282;s__UBA3282 sp003611805	96.33	1.149				44	med
C13F5_subsampled_40Gb_bin.13	370	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__;s__	96.06	3.243				30	med
C13F5_subsampled_40Gb_bin.14	309	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__UBA3700;g__RACS-045;s__	83.6	0.265	C13F5_subsampled_40Gb_bin.14_NODE_14682_length_4192_cov_2.824090 (3675, 3785)			32	med
C13F5_subsampled_40Gb_bin.15	490	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Lawsonibacter;s__	79.86	3.292				16	med
C13F5_subsampled_40Gb_bin.16	89	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__Borkfalkiaceae;g__UBA11940;s__UBA11940 sp003979335	80.17	0.0	C13F5_subsampled_40Gb_bin.16_NODE_453_length_91713_cov_137.712468 (11, 120)	C13F5_subsampled_40Gb_bin.16_NODE_3188_length_21117_cov_134.076173 (20566, 21116)		49	med
C13F5_subsampled_40Gb_bin.17	85	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__1XD42-69;s__1XD42-69 sp011959925	95.65	0.0				40	med
C13F5_subsampled_40Gb_bin.18	543	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Adlercreutzia;s__Adlercreutzia muris	75.12	1.209	C13F5_subsampled_40Gb_bin.18_NODE_10519_length_5955_cov_3.030055 (431, 523)			41	med
C13F5_subsampled_40Gb_bin.19	31	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Paramuribaculum;s__	98.49	0.377				47	med
C13F5_subsampled_40Gb_bin.2	250	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__ASTD01;s__	98.44	1.656				37	med
C13F5_subsampled_40Gb_bin.20	43	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAG-873;s__	93.83	0.377	C13F5_subsampled_40Gb_bin.20_NODE_1021_length_54624_cov_40.043301 (54311, 54407)			46	med
C13F5_subsampled_40Gb_bin.21	45	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Duncaniella;s__	99.43	0.88				51	med
C13F5_subsampled_40Gb_bin.22	147	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eubacterium_J;s__	97.39	1.819				44	med
C13F5_subsampled_40Gb_bin.23	40	d__Bacteria;p__Firmicutes;c__Bacilli;o__Acholeplasmatales;f__Anaeroplasmataceae;g__UMGS268;s__	98.66	0.111	C13F5_subsampled_40Gb_bin.23_NODE_1607_length_38957_cov_44.110505 (38876, 38956)			41	med
C13F5_subsampled_40Gb_bin.24	160	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__14-2;s__14-2 sp000403315	96.05	1.915				45	med
C13F5_subsampled_40Gb_bin.25	57	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__UBA7173;s__UBA7173 sp001689485	98.67	0.377	C13F5_subsampled_40Gb_bin.25_NODE_500_length_87434_cov_119.071403 (87012, 87104)			46	med
C13F5_subsampled_40Gb_bin.26	518	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Marseille-P3106;s__	73.74	1.342				20	med
C13F5_subsampled_40Gb_bin.27	892	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__ASTD01;s__	89.05	2.501				29	med
C13F5_subsampled_40Gb_bin.28	147	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__;s__	96.6	0.223	C13F5_subsampled_40Gb_bin.28_NODE_6391_length_10070_cov_5.411995 (6, 95)			29	med
C13F5_subsampled_40Gb_bin.29	420	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Anaerosacchariphilus;s__Anaerosacchariphilus sp011959465	92.8	0.949				42	med
C13F5_subsampled_40Gb_bin.3	230	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Schaedlerella;s__Schaedlerella sp000403295	90.1	1.267				42	med
C13F5_subsampled_40Gb_bin.30	790	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA9502;s__	85.83	2.819				39	med
C13F5_subsampled_40Gb_bin.31	57	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAG-873;s__CAG-873 sp009775265	94.18	0.314				49	med
C13F5_subsampled_40Gb_bin.32	325	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Acetatifactor;s__	87.48	1.724				43	med
C13F5_subsampled_40Gb_bin.33	156	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__UMGS1872;s__UMGS1872 sp014237695	96.03	1.677	C13F5_subsampled_40Gb_bin.33_NODE_12014_length_5189_cov_44.791159 (5076, 5183)			36	med
C13F5_subsampled_40Gb_bin.34	343	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Clostridium_Q;s__	94.38	0.843				49	med
C13F5_subsampled_40Gb_bin.35	56	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA3282;s__	98.27	1.915		C13F5_subsampled_40Gb_bin.35_NODE_100_length_176442_cov_41.035102 (1, 418)		47	med
C13F5_subsampled_40Gb_bin.36	411	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__1XD8-76;s__	94.37	3.467				39	med
C13F5_subsampled_40Gb_bin.37	662	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Acutalibacter;s__Acutalibacter muris	76.93	2.376				28	med
C13F5_subsampled_40Gb_bin.38	63	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__UBA7173;s__UBA7173 sp001689685	98.42	0.0				39	med
C13F5_subsampled_40Gb_bin.39	13	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Duncaniella;s__	99.05	0.377		C13F5_subsampled_40Gb_bin.39_NODE_16_length_295248_cov_128.121982 (2, 943)		44	med
C13F5_subsampled_40Gb_bin.4	786	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eubacterium_J;s__	78.67	2.394				25	med
C13F5_subsampled_40Gb_bin.40	334	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__ASTD01;s__	93.85	1.584				49	med
C13F5_subsampled_40Gb_bin.41	70	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__UBA3700;g__RACS-045;s__	94.85	0.223	C13F5_subsampled_40Gb_bin.41_NODE_382_length_99866_cov_11.762046 (39166, 39277)		C13F5_subsampled_40Gb_bin.41_NODE_382_length_99866_cov_11.762046 (39383, 42273)	44	med
C13F5_subsampled_40Gb_bin.42	207	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA3402;s__	98.41	0.0				60	med
C13F5_subsampled_40Gb_bin.43	87	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__COE1;s__COE1 sp000403335	98.16	2.485				53	med
C13F5_subsampled_40Gb_bin.44	148	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__;s__	99.4	2.49				49	med
C13F5_subsampled_40Gb_bin.45	132	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UMGS1370;s__	99.36	1.582				46	med
C13F5_subsampled_40Gb_bin.46	234	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eubacterium_J;s__Eubacterium_J sp009774535	96.43	1.566				51	med
C13F5_subsampled_40Gb_bin.47	410	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__;s__	98.1	1.74				44	med
C13F5_subsampled_40Gb_bin.48	449	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Flavonifractor;s__	83.14	3.733	C13F5_subsampled_40Gb_bin.48_NODE_15860_length_3879_cov_2.440212 (3790, 3876)			26	med
C13F5_subsampled_40Gb_bin.49	44	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__UMGS1872;s__	96.64	0.671	C13F5_subsampled_40Gb_bin.49_NODE_759_length_67563_cov_52.177917 (113, 220)	C13F5_subsampled_40Gb_bin.49_NODE_46_length_234596_cov_62.163345 (232239, 233766)		34	med
C13F5_subsampled_40Gb_bin.5	75	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Duncaniella;s__Duncaniella muris	76.35	0.125				40	med
C13F5_subsampled_40Gb_bin.50	338	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAG-873;s__	95.36	2.201	C13F5_subsampled_40Gb_bin.50_NODE_11749_length_5302_cov_3.429175 (257, 357)			38	med
C13F5_subsampled_40Gb_bin.51	110	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA9502;s__	99.36	1.265				48	med
C13F5_subsampled_40Gb_bin.52	67	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Duncaniella;s__	99.43	0.754	2 present			49	med
C13F5_subsampled_40Gb_bin.53	53	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Lawsonibacter;s__	75.3	0.671				32	med
C13F5_subsampled_40Gb_bin.54	660	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__1XD8-76;s__	86.82	2.278				37	med
C13F5_subsampled_40Gb_bin.55	240	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAG-485;s__CAG-485 sp002362485	97.19	1.886				41	med
C13F5_subsampled_40Gb_bin.56	108	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__UBA7173;s__UBA7173 sp002491305	98.67	0.377	C13F5_subsampled_40Gb_bin.56_NODE_8440_length_7471_cov_50.798155 (80, 175)			43	med
C13F5_subsampled_40Gb_bin.57	131	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-95;s__CAG-95 sp009917455	98.85	3.021				49	med
C13F5_subsampled_40Gb_bin.58	60	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__CAG-917;g__CAG-475;s__	90.82	0.02	C13F5_subsampled_40Gb_bin.58_NODE_604_length_78042_cov_6.093607 (77468, 77577)	C13F5_subsampled_40Gb_bin.58_NODE_5303_length_12268_cov_5.364944 (7884, 9394)	C13F5_subsampled_40Gb_bin.58_NODE_5303_length_12268_cov_5.364944 (9766, 12268)	46	high
C13F5_subsampled_40Gb_bin.59	37	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Muribaculum;s__Muribaculum sp002492595	99.43	0.0				48	med
C13F5_subsampled_40Gb_bin.6	226	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAG-485;s__	94.84	0.377				39	med
C13F5_subsampled_40Gb_bin.60	79	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Acetatifactor;s__Acetatifactor sp003612485	95.68	1.915				45	med
C13F5_subsampled_40Gb_bin.61	33	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__Borkfalkiaceae;g__UBA11940;s__UBA11940 sp013316055	95.29	0.026	2 present			38	med
C13F5_subsampled_40Gb_bin.62	198	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA3282;s__	96.64	1.724				46	med
C13F5_subsampled_40Gb_bin.63	460	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__TF01-11;s__	97.31	1.159				35	med
C13F5_subsampled_40Gb_bin.64	34	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__Akkermansia;s__Akkermansia muciniphila	97.95	0.68	C13F5_subsampled_40Gb_bin.64_NODE_10872_length_5756_cov_225.816334 (5579, 5686)	C13F5_subsampled_40Gb_bin.64_NODE_10872_length_5756_cov_225.816334 (441, 1949)	C13F5_subsampled_40Gb_bin.64_NODE_10872_length_5756_cov_225.816334 (2505, 5335)	50	high
C13F5_subsampled_40Gb_bin.65	261	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Schaedlerella;s__Schaedlerella arabinosiphila	93.09	1.896			C13F5_subsampled_40Gb_bin.65_NODE_1791_length_35605_cov_21.597082 (1, 974)	50	med
